content,score,at,app,postag,afterpos,0,1,2,3,4,5,6,7,8,topic_id,topic_txt,x1,y1,x10,y10,x25,y25,x100,y100,label,value
maaf kecewa aplikasi bayar premium spotlight langanan premium tidak yang minggu point henti panjang langgan masuk dalam aplikasi wifi lambat muter muter doang pakai data normal chat masuk tidak ontime tunggu menit tidak menit mnit masuk,1,2023-10-26 02:50:14,bumble,"[('Ġmaaf', 'B-INT'), ('Ġkecewa', 'B-ADJ'), ('Ġaplikasi', 'B-NNO'), ('Ġbayar', 'B-VBI'), ('Ġpremium', 'B-NNO'), ('Ġspot', 'B-NNP'), ('light', 'B-NNP'), ('Ġl', 'B-NNP'), ('anganan', 'B-NNP'), ('Ġpremium', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġyang', 'B-PRR'), ('Ġminggu', 'B-NNP'), ('Ġpoint', 'B-NNP'), ('Ġhenti', 'B-NNO'), ('Ġpanjang', 'B-ADJ'), ('Ġl', 'B-NNP'), ('anggan', 'B-NNP'), ('Ġmasuk', 'B-VBI'), ('Ġdalam', 'B-PPO'), ('Ġaplikasi', 'B-NNO'), ('Ġwifi', 'B-NNP'), ('Ġlambat', 'B-NNO'), ('Ġmuter', 'B-NNO'), ('Ġmuter', 'B-NNO'), ('Ġdoang', 'B-NNO'), ('Ġpakai', 'B-VBI'), ('Ġdata', 'B-NNO'), ('Ġnormal', 'B-ADJ'), ('Ġchat', 'B-NNP'), ('Ġmasuk', 'B-VBI'), ('Ġtidak', 'B-NEG'), ('Ġon', 'B-NNP'), ('time', 'B-NNP'), ('Ġtunggu', 'B-VBI'), ('Ġmenit', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġmenit', 'B-NNO'), ('Ġmn', 'B-NNP'), ('it', 'B-NNP'), ('Ġmasuk', 'B-VBI')]", aplikasi bayar premium premium henti masuk aplikasi lambat muter muter doang pakai data masuk tunggu menit menit masuk,0.9587242603302002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,aplikasi; bayar; coba; masuk; kasih; buka; batas; pakai; teman; jodoh,-9.32661,-23.493475,-47.772457,-91.797615,-37.733517,-75.988914,27.752214,-51.73777,negative,0.9978121519088744
banget loading lihat list orang diswipe tidak lama doang tidak keload kali kali pindah page muncul,1,2023-09-05 12:14:58,bumble,"[('Ġbanget', 'B-ADV'), ('Ġloading', 'B-NNO'), ('Ġlihat', 'B-VBI'), ('Ġlist', 'B-NNO'), ('Ġorang', 'B-NNO'), ('Ġdis', 'B-NNP'), ('w', 'B-NNP'), ('ipe', 'B-NNP'), ('Ġtidak', 'B-NEG'), ('Ġlama', 'B-ADJ'), ('Ġdoang', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġkel', 'B-NNP'), ('oad', 'B-NNP'), ('Ġkali', 'B-NNO'), ('Ġkali', 'B-NNO'), ('Ġpindah', 'B-VBI'), ('Ġpage', 'B-NNO'), ('Ġmuncul', 'B-VBI')]", loading lihat list orang doang kali kali pindah page muncul,0.4411796927452087,0.5027456879615784,0.0120027251541614,0.0,0.0,0.0,0.0,0.0,0.0,1,akun; orang; hapus; cewek; login; kenal; pesan; ketemu; uang; cocok,-76.85238,35.613728,-4.25292,46.194256,-17.968508,-23.59198,-15.791477,-14.630919,negative,0.9800232648849488
aplikasi lancar lelet banget banget sinyal super kencang lelet tolong baik kirim pesan dobel mulu gegara lelet,3,2023-10-19 11:30:55,bumble,"[('Ġaplikasi', 'B-NNO'), ('Ġlancar', 'B-NNO'), ('Ġlelet', 'B-NNP'), ('Ġbanget', 'B-NNP'), ('Ġbanget', 'B-NNP'), ('Ġsinyal', 'B-NNO'), ('Ġsuper', 'B-ADJ'), ('Ġkencang', 'B-NNO'), ('Ġlelet', 'B-NNP'), ('Ġtolong', 'B-NNP'), ('Ġbaik', 'B-ADJ'), ('Ġkirim', 'B-NNP'), ('Ġpesan', 'B-NNO'), ('Ġdobel', 'B-NNO'), ('Ġmulu', 'B-NNP'), ('Ġg', 'B-NNP'), ('egara', 'B-NNO'), ('Ġlelet', 'B-NNP')]", aplikasi lancar sinyal kencang pesan dobelegara,0.3021004199981689,0.6097937226295471,0.0188361015170812,0.015690192580223,0.0134318573400378,0.0117524350062012,0.0104464432224631,0.0,0.0,1,akun; orang; hapus; cewek; login; kenal; pesan; ketemu; uang; cocok,29.858562,-6.0877004,-10.994045,35.362045,-24.04478,-23.350317,-18.094381,-14.892608,negative,0.999175488948822
halo developer langgan premium minggu bayar terima akun tidak premium coba tidak bisa tolong bantu,1,2023-10-14 22:05:25,bumble,"[('Ġhal', 'B-NNO'), ('o', 'B-NNO'), ('Ġdeveloper', 'B-NNO'), ('Ġl', 'B-NNP'), ('anggan', 'B-NNO'), ('Ġpremium', 'B-NNP'), ('Ġminggu', 'B-NNP'), ('Ġbayar', 'B-VBI'), ('Ġterima', 'B-VBI'), ('Ġakun', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġpremium', 'B-NNO'), ('Ġcoba', 'B-VBI'), ('Ġtidak', 'B-NEG'), ('Ġbisa', 'B-ADV'), ('Ġtolong', 'B-NNO'), ('Ġbantu', 'B-VBI')]", halo developeranggan bayar terima akun premium coba tolong bantu,0.7597621083259583,0.0165561977773904,0.0131793478503823,0.0109714763239026,0.1714283376932144,0.0,0.0,0.0,0.0,0,aplikasi; bayar; coba; masuk; kasih; buka; batas; pakai; teman; jodoh,37.791992,24.864166,28.063105,-13.27739,16.878511,14.6727,18.721819,-12.751086,neutral,0.992270827293396
susah login nomer hp telpon bumble kode negara suruh cek nomer,1,2023-10-04 17:23:34,bumble,"[('Ġsusah', 'B-NNP'), ('Ġlogin', 'B-NNP'), ('Ġnomer', 'B-NNO'), ('Ġhp', 'B-NNO'), ('Ġtelpon', 'B-NNO'), ('Ġb', 'B-NNP'), ('umble', 'B-NNP'), ('Ġkode', 'B-NNP'), ('Ġnegara', 'B-NNO'), ('Ġsuruh', 'B-NNP'), ('Ġcek', 'B-NNO'), ('Ġnomer', 'B-NNO')]", nomer hp telpon negara cek nomer,0.0317589715123176,0.0235908068716526,0.0188109911978244,0.872267484664917,0.0134303057566285,0.0117504959926009,0.0104448581114411,0.0,0.0,3,gue; pakai; gambar; logo; hp; masuk; nomor; koin; kritik; login,-25.571112,-55.848324,-24.312416,79.79777,-24.332012,56.927162,-27.432487,21.30138,neutral,0.999021053314209
aplikasi bantu mudah guna fitur mudah paham rekomen didownload,5,2023-11-09 14:18:52,bumble,"[('Ġaplikasi', 'B-NNO'), ('Ġbantu', 'B-NNP'), ('Ġmudah', 'B-ADJ'), ('Ġguna', 'B-NNP'), ('Ġfitur', 'B-NNO'), ('Ġmudah', 'B-ADJ'), ('Ġpaham', 'B-NNP'), ('Ġrek', 'B-NNP'), ('omen', 'B-NNP'), ('Ġdidownload', 'B-VBP')]", aplikasi fitur didownload,0.5374061465263367,0.041233405470848,0.032920766621828,0.0274217799305915,0.023503640666604,0.2878300249576568,0.0182785131037235,0.0164506267756223,0.0149551061913371,0,aplikasi; bayar; coba; masuk; kasih; buka; batas; pakai; teman; jodoh,44.792477,-79.22514,-57.28537,-1.1248353,21.809568,31.038927,-15.025585,2.796457,neutral,0.7235247492790222
log out suruh verifikasi foto foto tidak bisa parah langgan,5,2023-11-11 20:37:06,bumble,"[('Ġlog', 'B-NNO'), ('Ġout', 'B-NNP'), ('Ġsuruh', 'B-NNO'), ('Ġverifikasi', 'B-NNO'), ('Ġfoto', 'B-NNO'), ('Ġfoto', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġbisa', 'B-ADV'), ('Ġparah', 'B-ADJ'), ('Ġl', 'B-NNP'), ('anggan', 'B-NNP')]", log suruh verifikasi foto foto,0.0373914092779159,0.0274661555886268,0.0219413749873638,0.0182796735316514,0.0156737305223941,0.0137084983289241,0.0121851610019803,0.0109666343778371,0.8423873782157898,8,verifikasi; foto; manusia; wajah; profil; kunci; palsu; gagal; asli; filter,4.8918676,-32.895596,-37.706627,-13.298791,0.22140495,-7.884833,-11.835346,14.639291,neutral,0.9937891364097596
logout tidak bisa masuk data jamin aman tidak takut foto disalahgunakan,2,2023-10-26 15:02:27,bumble,"[('Ġlogout', 'B-VBI'), ('Ġtidak', 'B-NEG'), ('Ġbisa', 'B-ADV'), ('Ġmasuk', 'B-VBI'), ('Ġdata', 'B-NNO'), ('Ġjamin', 'B-VBI'), ('Ġaman', 'B-ADJ'), ('Ġtidak', 'B-NEG'), ('Ġtakut', 'B-ADJ'), ('Ġfoto', 'B-NNO'), ('Ġdisalahgunakan', 'B-VBP')]", logout masuk data jamin foto disalahgunakan,0.0550474599003791,0.8568893671035767,0.0188155248761177,0.0156775247305631,0.0134292757138609,0.0117503302171826,0.0104446811601519,0.0,0.0,1,akun; orang; hapus; cewek; login; kenal; pesan; ketemu; uang; cocok,-47.210945,-60.345707,24.48043,-81.62343,-56.032074,-37.313454,-25.706875,-20.463089,negative,0.7962629795074463
lelet nya ampun update beli premium,1,2023-10-28 22:14:11,bumble,"[('Ġlelet', 'B-NNP'), ('Ġnya', 'B-ART'), ('Ġampun', 'B-NNO'), ('Ġupdate', 'B-NNP'), ('Ġbeli', 'B-NNO'), ('Ġpremium', 'B-NNP')]", ampun beli,0.0744041949510574,0.0550216250121593,0.0439060181379318,0.0365940816700458,0.031336773186922,0.6924895644187927,0.0243721157312393,0.0219348445534706,0.0199407562613487,5,suka; fitur; beli; aneh; paket; blok; seru; isi; harga; profil,-46.766182,-110.17946,-69.2019,-21.751925,16.620663,58.63236,-21.507414,2.557398,negative,0.990441083908081
bumble load parah ya signal bagus mohon tingkat ya report tidak ada jelas,1,2023-10-22 21:58:49,bumble,"[('Ġb', 'B-NNP'), ('umble', 'B-NNP'), ('Ġload', 'B-NNP'), ('Ġparah', 'B-ADJ'), ('Ġya', 'B-SYM'), ('Ġsignal', 'B-NNP'), ('Ġbagus', 'B-ADJ'), ('Ġmohon', 'B-VBI'), ('Ġtingkat', 'B-NNO'), ('Ġya', 'B-SYM'), ('Ġreport', 'B-NNP'), ('Ġtidak', 'B-NEG'), ('Ġada', 'B-VBE'), ('Ġjelas', 'B-ADJ')]", mohon tingkat,0.0738388523459434,0.7207368016242981,0.0438794009387493,0.0365565568208694,0.0313327722251415,0.0274155102670192,0.0243692863732576,0.0219323448836803,0.0199384968727827,1,akun; orang; hapus; cewek; login; kenal; pesan; ketemu; uang; cocok,-69.00835,5.488023,-53.79236,31.883707,-50.004745,-14.590791,-24.682304,-16.809824,negative,0.9993690848350524
