content,score,at,datetime,text,stem,app,postag,afterpos,0,1,2,3,4,5,6,7,8,topic_id,topic_txt,x1,y1,x10,y10,x25,y25,x100,y100,label,value
"Makin di update makin buruk, setiap ada war selalu ngeframe padahal jaringan bagus, penyimpanan juga masih banyak, itu hal yang sangat mengganggu sekali, setiap masuk match juga selalu telat sekitar 10 detik, dimana mobile legend yang dulu?? Sistem matchmaking juga makin gak adil, setiap mau naik susahnya minta ampun dan malah dikasih team yang berlaku layaknya bot, udah makin gak ada kecintaan sama game ini",1.0,2023-12-06 20:26:12,2023-12-06 20:26:12,update  buruk   war  ngeframe  jaringan bagus penyimpanan        mengganggu   masuk match   telat   detik dimana mobile legend   sistem matchmaking   tidak_adil    susahnya  ampun   dikasih team  berlaku layaknya bot   tidak_ada kecintaan  game,update buruk war ngeframe jaring bagus simpan ganggu masuk match telat detik mana mobile legend sistem matchmaking tidak adil susah ampun kasih team laku layak bot tidak ada cinta game,mobilelegends,"[('Ġupdate', 'B-NNP'), ('Ġburuk', 'B-ADJ'), ('Ġwar', 'B-NNP'), ('Ġng', 'B-NNP'), ('ef', 'B-NNP'), ('rame', 'B-NNP'), ('Ġjaring', 'B-NNP'), ('Ġbagus', 'B-ADJ'), ('Ġsimpan', 'B-NNP'), ('Ġganggu', 'B-NNO'), ('Ġmasuk', 'B-VBI'), ('Ġmatch', 'B-NNP'), ('Ġtelat', 'B-NNP'), ('Ġdetik', 'B-NNO'), ('Ġmana', 'B-PRI'), ('Ġmobile', 'B-NNP'), ('Ġlegend', 'B-NNP'), ('Ġsistem', 'B-NNO'), ('Ġmatch', 'B-NNP'), ('mak', 'B-NNP'), ('ing', 'B-NNP'), ('Ġtidak', 'B-NEG'), ('Ġadil', 'B-NNP'), ('Ġsusah', 'B-NNP'), ('Ġampun', 'B-NNP'), ('Ġkasih', 'B-NNP'), ('Ġteam', 'B-NNP'), ('Ġlaku', 'B-NNP'), ('Ġlayak', 'B-ADJ'), ('Ġbot', 'B-NNP'), ('Ġtidak', 'B-NEG'), ('Ġada', 'B-VBE'), ('Ġcinta', 'B-NNO'), ('Ġgame', 'B-NNO')]", ganggu masuk detik sistem cinta game,0.887973964214325,0.0239085853099823,0.0188540816307067,0.0156761463731527,0.0134337544441223,0.0117540387436747,0.0104479612782597,0.0,0.0,0,game; main; jaring; sinyal; hero; masuk; grafik; kasih; pakai; kayak,38.25376,-9.49527,-81.534836,5.8939786,-46.97536,-14.042283,8.2700405,-5.0670323,negative,0.9989516735076904
"Terlalu banyak bug PING tinggi trs pengaturan jaringan udah sama yg disarankan ttp aj PING tinggi trs ga stabil padahal sinyal bagus buat aplikasi lain aja lancar semua yg lebih berat dri mlbb, ini malah gak bisa stabil ,trs kalo kasih lawan beda kemampuan jauh ga ada seimbang sama sekali",2.0,2023-12-24 19:03:09,2023-12-24 19:03:09,bug ping   pengaturan jaringan    disarankan   ping   tidak_stabil  sinyal bagus  aplikasi   lancar    berat  mlb   tidak_bisa stabil  kalo kasih lawan beda kemampuan  tidak_ada seimbang,bug ping atur jaring saran ping tidak stabil sinyal bagus aplikasi lancar berat mlb tidak bisa stabil kalo kasih lawan beda mampu tidak ada imbang,mobilelegends,"[('Ġbug', 'B-NNP'), ('Ġping', 'B-NNP'), ('Ġatur', 'B-NNP'), ('Ġjaring', 'B-NNO'), ('Ġsaran', 'B-NNO'), ('Ġping', 'B-NNP'), ('Ġtidak', 'B-NEG'), ('Ġstabil', 'B-NNO'), ('Ġsinyal', 'B-NNO'), ('Ġbagus', 'B-ADJ'), ('Ġaplikasi', 'B-NNO'), ('Ġlancar', 'B-NNO'), ('Ġberat', 'B-ADJ'), ('Ġml', 'B-NNP'), ('b', 'B-NNP'), ('Ġtidak', 'B-NEG'), ('Ġbisa', 'B-ADV'), ('Ġstabil', 'B-NNO'), ('Ġkalo', 'B-CSN'), ('Ġkasih', 'B-NNO'), ('Ġlawan', 'B-NNO'), ('Ġbeda', 'B-NNO'), ('Ġmampu', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġada', 'B-VBE'), ('Ġimbang', 'B-NNO')]", jaring saran stabil sinyal aplikasi lancar stabil kasih lawan beda mampu imbang,0.6915141940116882,0.0127400467172265,0.0101346634328365,0.0,0.0,0.0,0.2539505660533905,0.0,0.0,0,game; main; jaring; sinyal; hero; masuk; grafik; kasih; pakai; kayak,9.690394,51.660015,-38.357536,33.759262,-19.072668,28.120428,-5.2230434,-8.26984,negative,0.9980164766311646
Menurut saya agar lebih banyak di sukai harga skin jangan terlalu mahal karena terkadang saya ketemu tim yg sombong dengan skinnya dan untuk musuhnya juga tolong yg seimbang karena biasanya dalam 1 tim ada yg tidak terlalu bisa memakai suatu hero yg menyebabkan lost trek jadi dimohon sekali moonton,4.0,2023-12-13 17:25:59,2023-12-13 17:25:59,sukai harga skin tidak_terlalu mahal  terkadang  ketemu tim  sombong  skinnya   musuhnya  tolong  seimbang     tim   tidak_terlalu  memakai  hero  menyebabkan lost trek  dimohon  moonton,suka harga skin tidak terlalu mahal terkadang ketemu tim sombong skinnya musuh tolong imbang tim tidak terlalu pakai hero sebab lost trek mohon moonton,mobilelegends,"[('Ġsuka', 'B-VBI'), ('Ġharga', 'B-NNO'), ('Ġskin', 'B-NNP'), ('Ġtidak', 'B-NEG'), ('Ġterlalu', 'B-ADV'), ('Ġmahal', 'B-ADJ'), ('Ġterkadang', 'B-ADV'), ('Ġketemu', 'B-VBI'), ('Ġtim', 'B-NNO'), ('Ġsombong', 'B-ADJ'), ('Ġsk', 'B-NNP'), ('innya', 'B-NNO'), ('Ġmusuh', 'B-NNO'), ('Ġtolong', 'B-NNP'), ('Ġimbang', 'B-ADJ'), ('Ġtim', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġterlalu', 'B-ADV'), ('Ġpakai', 'B-VBI'), ('Ġhero', 'B-NNO'), ('Ġsebab', 'B-CSN'), ('Ġl', 'B-NNP'), ('ost', 'B-NNO'), ('Ġtrek', 'B-NNO'), ('Ġmohon', 'B-VBI'), ('Ġmo', 'B-NNP'), ('onton', 'B-NNP')]", suka harga ketemu timinnya musuh tim pakai heroost trek mohon,0.020405238494277,0.0150417815893888,0.9204891920089722,0.0,0.0,0.0,0.0,0.0,0.0,2,tim; hero; main; musuh; game; pakai; gamenya; grafis; skil; player,32.98987,24.473032,60.689495,-33.49753,25.341923,19.88935,-20.26263,-0.9338942,negative,0.8922218084335327
"Setiap update ukurannya semakin gede,apa setiap update kami harus ganti hp yg mumpuni..trus masalah jaringan makin ke sini kok makin bobrok ya..dulu lancar2 aja skrg makin parah..update skrg bagi pengguna axis/xl gak bisa masuk,mentok di loading screen...sampai kapan pengguna axis/xl gak bisa login???",1.0,2023-12-21 02:49:29,2023-12-21 02:49:29,update ukurannya  gedeapa  update   ganti hp  mumpunitrus  jaringan      bobrok yadulu lancar    parahupdate   pengguna axisxl tidak_bisa masukmentok  loading screensampai  pengguna axisxl tidak_bisa login,update ukur gedeapa update ganti hp mumpunitrus jaring bobrok yadulu lancar parahupdate guna axisxl tidak bisa masukmentok loading screensampai guna axisxl tidak bisa login,mobilelegends,"[('Ġupdate', 'B-NNP'), ('Ġukur', 'B-NNO'), ('Ġgede', 'B-NNP'), ('apa', 'B-NNP'), ('Ġupdate', 'B-NNP'), ('Ġganti', 'B-NNO'), ('Ġhp', 'B-NNO'), ('Ġmum', 'B-NNP'), ('pun', 'B-NNP'), ('itr', 'B-NNP'), ('us', 'B-NNP'), ('Ġjaring', 'B-NNP'), ('Ġbob', 'B-NNP'), ('rok', 'B-NNP'), ('Ġya', 'B-NNP'), ('dulu', 'B-NNP'), ('Ġlancar', 'B-NNP'), ('Ġparah', 'B-NNP'), ('update', 'B-NNP'), ('Ġguna', 'B-NNP'), ('Ġaxis', 'B-NNP'), ('x', 'B-NNP'), ('l', 'B-NNP'), ('Ġtidak', 'B-NEG'), ('Ġbisa', 'B-ADV'), ('Ġmasuk', 'B-NNP'), ('ment', 'B-NNP'), ('ok', 'B-NNO'), ('Ġloading', 'B-NNP'), ('Ġscreens', 'B-NNP'), ('ampai', 'B-NNP'), ('Ġguna', 'B-NNP'), ('Ġaxis', 'B-NNP'), ('x', 'B-NNP'), ('l', 'B-NNP'), ('Ġtidak', 'B-NEG'), ('Ġbisa', 'B-ADV'), ('Ġlogin', 'B-NNP')]", ukur ganti hpok,0.8045454025268555,0.0412524789571762,0.0329528599977493,0.0274436436593532,0.02351682074368,0.0205755829811096,0.0182891618460416,0.0164602119475603,0.0149638168513774,0,game; main; jaring; sinyal; hero; masuk; grafik; kasih; pakai; kayak,41.622936,-15.797791,-67.512566,-13.6322775,-15.006534,-7.4338145,0.8917975,0.3454832,negative,0.998684823513031
"Aku sangat kecewa Bngt masa aku nggak bisa masuk ke dalam pertandingan,pas mau menghubungi customer service nggak bisa cuma muter² doang tolong diperbaiki bugnya makin parah, pas udh masuk dalam pertandingan, jaringan nya malah merah padahal jaringan wifi ku tuh penuh tolong lah monton diperbaiki bug nya.trus saja di update bukannya makin bagus malah makin Ngebung nya nggak karuan.blm lagi pas main aku selalu dapet tim beban akun ku selalu kena drak sistem...",1.0,2023-12-05 05:54:37,2023-12-05 05:54:37,kecewa banget   tidak_bisa masuk   pertandinganpas  menghubungi customer service tidak_bisa  muter² doang tolong diperbaiki bugnya  parah pas  masuk  pertandingan jaringan nya  merah  jaringan wifi ku tuh penuh tolong  monton diperbaiki bug nyatrus   update   bagus   ngebung nya tidak_karuanblm  pas main    tim beban akun ku  kena drak sistem,kecewa banget tidak bisa masuk pertandinganpas hubung customer service tidak bisa muter doang tolong baik bugnya parah pas masuk tanding jaring nya merah jaring wifi ku tuh penuh tolong monton baik bug nyatrus update bagus ngebung nya tidak karuanblm pas main tim beban akun ku kena drak sistem,mobilelegends,"[('Ġkecewa', 'B-NNO'), ('Ġbanget', 'B-ADV'), ('Ġtidak', 'B-NEG'), ('Ġbisa', 'B-ADV'), ('Ġmasuk', 'B-VBI'), ('Ġpertandingan', 'B-NNP'), ('pas', 'B-NNO'), ('Ġhubung', 'B-NNO'), ('Ġcustomer', 'B-NNP'), ('Ġservice', 'B-NNP'), ('Ġtidak', 'B-NEG'), ('Ġbisa', 'B-ADV'), ('Ġmuter', 'B-NNP'), ('Ġdoang', 'B-NNP'), ('Ġtolong', 'B-NNP'), ('Ġbaik', 'B-ADJ'), ('Ġbug', 'B-NNO'), ('nya', 'B-ART'), ('Ġparah', 'B-ADJ'), ('Ġpas', 'B-NNO'), ('Ġmasuk', 'B-VBI'), ('Ġtanding', 'B-NNO'), ('Ġjaring', 'B-NNO'), ('Ġnya', 'B-PRK'), ('Ġmerah', 'B-NNP'), ('Ġjaring', 'B-NNO'), ('Ġwifi', 'B-NNO'), ('Ġku', 'B-NNO'), ('Ġtuh', 'B-NNO'), ('Ġpenuh', 'B-ADJ'), ('Ġtolong', 'B-NNP'), ('Ġm', 'B-NNP'), ('onton', 'B-NNP'), ('Ġbaik', 'B-ADJ'), ('Ġbug', 'B-NNO'), ('Ġny', 'B-NNP'), ('at', 'B-NNP'), ('rus', 'B-NNP'), ('Ġupdate', 'B-NNP'), ('Ġbagus', 'B-ADJ'), ('Ġngeb', 'B-NNP'), ('ung', 'B-NNO'), ('Ġnya', 'B-PRK'), ('Ġtidak', 'B-NEG'), ('Ġkaruan', 'B-NNP'), ('bl', 'B-NNP'), ('m', 'B-NNO'), ('Ġpas', 'B-NNP'), ('Ġmain', 'B-NNO'), ('Ġtim', 'B-NNO'), ('Ġbeban', 'B-NNO'), ('Ġakun', 'B-NNO'), ('Ġku', 'B-NNO'), ('Ġkena', 'B-VBI'), ('Ġdr', 'B-NNP'), ('ak', 'B-NNO'), ('Ġsistem', 'B-NNO')]", kecewa masukpas hubung bug pas masuk tanding jaring jaring wifi ku tuh bugungm main tim beban akun ku kenaak sistem,0.5964028835296631,0.0,0.0,0.3715701103210449,0.0,0.0,0.0,0.0,0.0,0,game; main; jaring; sinyal; hero; masuk; grafik; kasih; pakai; kayak,34.57922,9.52565,-21.744581,-20.068085,-30.498392,-9.247684,-3.042117,-2.0225217,negative,0.9993594288825989
"Game ini menurutku bagus sih, tapi kenapa aku kasih bintang satu?, nah aku memiliki 2 masalah yang tidak aku sukai dari game ini, yang ke 1. saat aku main pasti di kasih musuh yang berat berat sedangkan timku dikasih yang bot alias lemah. Yang ke 2. waktu aku mainin ini game pasti ada aja kendalanya, yaitu JARINGAN, nah ini pasti sudah di alami semua player mobile legends, padahal jaringan aku itu bagus, tapi saat aku main ini game lag nya parah banget, saking jengkelnya hp aku gwa injek injek.",1.0,2023-11-30 16:30:48,2023-11-30 16:30:48,game  menurutku bagus sih    kasih bintang    memiliki    tidak_aku sukai  game       main   kasih musuh  berat berat  timku dikasih  bot alias lemah      mainin  game    kendalanya  jaringan      alami  player mobile legends  jaringan   bagus    main  game lag nya parah banget saking jengkelnya hp  gwa injek injek,game turut bagus sih kasih bintang milik tidak aku suka game main kasih musuh berat berat tim kasih bot alias lemah mainin game kendala jaring alami player mobile legends jaring bagus main game lag nya parah banget saking jengkel hp gwa injek injek,mobilelegends,"[('Ġgame', 'B-NNO'), ('Ġturut', 'B-NNO'), ('Ġbagus', 'B-ADJ'), ('Ġsih', 'B-NNP'), ('Ġkasih', 'B-NNO'), ('Ġbintang', 'B-NNP'), ('Ġmilik', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġaku', 'B-PRN'), ('Ġsuka', 'B-VBI'), ('Ġgame', 'B-NNO'), ('Ġmain', 'B-VBI'), ('Ġkasih', 'B-NNO'), ('Ġmusuh', 'B-NNO'), ('Ġberat', 'B-ADJ'), ('Ġberat', 'B-ADJ'), ('Ġtim', 'B-NNO'), ('Ġkasih', 'B-NNO'), ('Ġbot', 'B-NNO'), ('Ġalias', 'B-NNO'), ('Ġlemah', 'B-ADJ'), ('Ġmain', 'B-NNP'), ('in', 'B-NNO'), ('Ġgame', 'B-NNO'), ('Ġkendala', 'B-NNO'), ('Ġjaring', 'B-NNO'), ('Ġalami', 'B-ADJ'), ('Ġplayer', 'B-NNP'), ('Ġmobile', 'B-NNP'), ('Ġlegends', 'B-NNP'), ('Ġjaring', 'B-NNO'), ('Ġbagus', 'B-ADJ'), ('Ġmain', 'B-VBI'), ('Ġgame', 'B-NNO'), ('Ġlag', 'B-NNO'), ('Ġnya', 'B-ART'), ('Ġparah', 'B-NNO'), ('Ġbanget', 'B-ADV'), ('Ġsaking', 'B-NNO'), ('Ġjengkel', 'B-NNO'), ('Ġhp', 'B-NNO'), ('Ġg', 'B-NNP'), ('wa', 'B-NNP'), ('Ġin', 'B-NNP'), ('jek', 'B-NNP'), ('Ġin', 'B-NNP'), ('jek', 'B-NNP')]", game turut kasih milik suka game main kasih musuh tim kasih bot aliasin game kendala jaring jaring main game lag parah saking jengkel hp,0.5384733080863953,0.1412623673677444,0.0,0.0,0.0,0.0,0.29852956533432,0.0,0.0,0,game; main; jaring; sinyal; hero; masuk; grafik; kasih; pakai; kayak,75.47765,14.380069,-4.4779015,45.578697,-14.217049,28.725094,-6.8683352,-8.418113,negative,0.998723566532135
"pengalaman saya bermain, sering sekali mendapatkan masalah jaringan padahal tidak ada masalah atau bisa di bilang lancar sebelum macth dimulai, mungkin bukan cuma saya namun bisa jadi player lain mengalami hal tersebut, selain ini untuk game play sangat bagus dan sudah jarang menemukan bug untuk sekarang saya kasih bintang 3 dulu jika masalah jaringan sudah di atas si saya beri bintang 5",3.0,2023-12-14 15:02:33,2023-12-14 15:02:33,pengalaman  bermain     jaringan  tidak_ada     bilang lancar  macth   tidak_cuma     player  mengalami      game play  bagus   jarang menemukan bug    kasih bintang     jaringan    sih   bintang,alam main jaring tidak ada bilang lancar macth tidak cuma player alami game play bagus jarang temu bug kasih bintang jaring sih bintang,mobilelegends,"[('Ġalam', 'B-NNO'), ('Ġmain', 'B-VBI'), ('Ġjaring', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġada', 'B-VBE'), ('Ġbilang', 'B-VBI'), ('Ġlancar', 'B-NNO'), ('Ġmac', 'B-NNP'), ('th', 'B-NNP'), ('Ġtidak', 'B-NEG'), ('Ġcuma', 'B-ADV'), ('Ġplayer', 'B-NNO'), ('Ġalami', 'B-ADJ'), ('Ġgame', 'B-NNO'), ('Ġplay', 'B-NNP'), ('Ġbagus', 'B-NNP'), ('Ġjarang', 'B-NNP'), ('Ġtemu', 'B-NNP'), ('Ġbug', 'B-NNP'), ('Ġkasih', 'B-NNP'), ('Ġbintang', 'B-NNP'), ('Ġjaring', 'B-NNO'), ('Ġsih', 'B-ADV'), ('Ġbintang', 'B-NNP')]", alam main jaring bilang lancar player game jaring,0.540823757648468,0.390687882900238,0.0146408220753073,0.0121854143217206,0.0104439128190279,0.0,0.0,0.0,0.0,0,game; main; jaring; sinyal; hero; masuk; grafik; kasih; pakai; kayak,57.952568,-84.23513,13.434247,-30.298195,19.223665,-21.80934,-4.1048603,13.290516,positive,0.9937179088592529
Dalam ranked beberapa kali putus jaringan dan sekian kali nya saya keluar dari pertandingan ranked.. Padahal jaringan bagus dan bukan WA dan youtube pun lancar jaya.. Tp hero saya gak gerak malah saya lihat di replay game itu main sendiri seperti ada yg mainin.. Apa lah ni..,5.0,2023-12-13 16:37:00,2023-12-13 16:37:00,ranked  kali putus jaringan  sekian kali nya    pertandingan ranked  jaringan bagus  tidak_wa  youtube  lancar jaya  hero  tidak_gerak   lihat  replay game  main     mainin   nih,ranked kali putus jaring sekian kali nya tanding ranked jaring bagus tidak wa youtube lancar jaya hero tidak gerak lihat replay game main mainin nih,mobilelegends,"[('Ġrank', 'B-NNP'), ('ed', 'B-NNP'), ('Ġkali', 'B-NNO'), ('Ġputus', 'B-VBI'), ('Ġjaring', 'B-NNO'), ('Ġsekian', 'B-NNP'), ('Ġkali', 'B-NNO'), ('Ġnya', 'B-ART'), ('Ġtanding', 'B-NNO'), ('Ġrank', 'B-NNP'), ('ed', 'B-NNP'), ('Ġjaring', 'B-NNO'), ('Ġbagus', 'B-ADJ'), ('Ġtidak', 'B-NEG'), ('Ġwa', 'B-NNO'), ('Ġyoutube', 'B-NNP'), ('Ġlancar', 'B-NNO'), ('Ġjaya', 'B-NNP'), ('Ġhero', 'B-NNO'), ('Ġtidak', 'B-NEG'), ('Ġgerak', 'B-NNO'), ('Ġlihat', 'B-VBI'), ('Ġrep', 'B-NNP'), ('lay', 'B-NNP'), ('Ġgame', 'B-NNO'), ('Ġmain', 'B-VBI'), ('Ġmain', 'B-NNP'), ('in', 'B-NNO'), ('Ġnih', 'B-ART')]", kali putus jaring kali tanding jaring wa lancar hero gerak lihat game mainin,0.582182765007019,0.3737762570381164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,game; main; jaring; sinyal; hero; masuk; grafik; kasih; pakai; kayak,20.988031,-28.959595,13.967047,-33.595715,18.556324,-22.80298,-3.7881806,12.926576,positive,0.985939621925354
"Deteksi jaringan bagus sekali sudah main jaringan bisa berubah merah hijau membuat gameplay buruk, kalau kalah bisa² nya ada poin jaringan buruk apa sudah di setting dari montoon nya.",1.0,2023-11-22 20:44:36,2023-11-22 20:44:36,deteksi jaringan bagus   main jaringan  berubah merah hijau  gameplay buruk  kalah bisa² nya  poin jaringan buruk    setting  montoon nya,deteksi jaring bagus main jaring ubah merah hijau gameplay buruk kalah bisa nya poin jaring buruk setting montoon nya,mobilelegends,"[('Ġdeteksi', 'B-NNO'), ('Ġjaring', 'B-NNO'), ('Ġbagus', 'B-ADJ'), ('Ġmain', 'B-NNO'), ('Ġjaring', 'B-NNO'), ('Ġubah', 'B-NNP'), ('Ġmerah', 'B-NNP'), ('Ġhijau', 'B-NNP'), ('Ġgameplay', 'B-NNP'), ('Ġburuk', 'B-ADJ'), ('Ġkalah', 'B-VBI'), ('Ġbisa', 'B-NNP'), ('Ġnya', 'B-ART'), ('Ġpoin', 'B-NNO'), ('Ġjaring', 'B-NNO'), ('Ġburuk', 'B-ADJ'), ('Ġsetting', 'B-NNO'), ('Ġmont', 'B-NNP'), ('oon', 'B-NNP'), ('Ġnya', 'B-ART')]", deteksi jaring main jaring kalah poin jaring setting,0.9131104350090028,0.0183978788554668,0.0146394278854131,0.0121882921084761,0.0104447053745388,0.0,0.0,0.0,0.0,0,game; main; jaring; sinyal; hero; masuk; grafik; kasih; pakai; kayak,3.7347836,-23.147074,-52.05873,-33.560318,-7.7731833,59.777534,13.860963,-8.294619,negative,0.9993504881858826
"Game ny bagus sih, keren,tpi ada masalah dikit,1. Skin terlalu mahal,skinnya dipermurah kyk ff,pubg. 2.lose treak berkali kali,tolong lh,kasih musuh bot berapa kali kek,pengen menang terus nih,pengen mhityic tapi ga bisa. Kalo 2 masalah ini diperbaiki,aku kasih bintang 5",2.0,2023-12-27 15:36:17,2023-12-27 15:36:17,game nya bagus sih kerentpi   dikit skin  mahalskinnya dipermurah kayak ffpubg lose treak berkali kalitolong lhkasih musuh bot  kali kekpengen menang  nihpengen mhityic  tidak_bisa kalo    diperbaikiaku kasih bintang,game nya bagus sih kerentpi dikit skin mahalskinnya murah kayak ffpubg lose treak kali kalitolong lhkasih musuh bot kali kekpengen menang nihpengen mhityic tidak bisa kalo diperbaikiaku kasih bintang,mobilelegends,"[('Ġgame', 'B-NNO'), ('Ġnya', 'B-PRK'), ('Ġbagus', 'B-ADJ'), ('Ġsih', 'B-NNP'), ('Ġker', 'B-NNP'), ('ent', 'B-NNP'), ('pi', 'B-NNP'), ('Ġdikit', 'B-NNP'), ('Ġskin', 'B-NNP'), ('Ġmahal', 'B-NNP'), ('sk', 'B-NNP'), ('innya', 'B-NNP'), ('Ġmurah', 'B-NNP'), ('Ġkayak', 'B-NNO'), ('Ġf', 'B-NNP'), ('f', 'B-NNP'), ('p', 'B-NNP'), ('ub', 'B-NNP'), ('g', 'B-NNP'), ('Ġl', 'B-NNP'), ('ose', 'B-NNP'), ('Ġtr', 'B-NNP'), ('eak', 'B-NNP'), ('Ġkali', 'B-NNP'), ('Ġkal', 'B-NNP'), ('it', 'B-NNP'), ('olong', 'B-NNP'), ('Ġl', 'B-NNP'), ('h', 'B-NNP'), ('kasih', 'B-NNP'), ('Ġmusuh', 'B-NNP'), ('Ġbot', 'B-NNP'), ('Ġkali', 'B-NNP'), ('Ġkek', 'B-NNP'), ('peng', 'B-NNP'), ('en', 'B-NNP'), ('Ġmenang', 'B-NNP'), ('Ġnih', 'B-NNP'), ('peng', 'B-NNP'), ('en', 'B-NNP'), ('Ġm', 'B-NNP'), ('h', 'B-NNP'), ('ity', 'B-NNP'), ('ic', 'B-NNP'), ('Ġtidak', 'B-NEG'), ('Ġbisa', 'B-ADV'), ('Ġkalo', 'B-CSN'), ('Ġdiperbaiki', 'B-NNP'), ('aku', 'B-NNP'), ('Ġkasih', 'B-NNP'), ('Ġbintang', 'B-NNP')]", game kayak,0.739573061466217,0.0550108924508094,0.0438736528158187,0.036558523774147,0.0313310176134109,0.0274147298187017,0.0243685636669397,0.0219316929578781,0.0199379026889801,0,game; main; jaring; sinyal; hero; masuk; grafik; kasih; pakai; kayak,30.568417,64.31952,-59.74478,44.13611,-36.960434,-0.21285136,-0.97924054,1.6980115,positive,0.9970130920410156
