content,dominant_topic,label,score,at,app,topic_percentage,value
percaya pakai tinder gold platinum bayar tidak ada ubah banding akun tolong jangam pakai tinder bayar hasil gratis,3,neutral,2,2023-11-21 20:14:00,tinder,0.797,0.998
woi kayak aplikasi dwnld pas masuk no telepon tulis upsupaya mkdnya bikin emosi masuk berulangulang coba tidak bisa tolong baik ya,3,negative,1,2023-11-22 16:06:54,tinder,0.446,0.995
daftar akun pakai tidak menit out pas log akun cekal tidak ada chatphoto ilegaldilarang outo un instal tidak bakal download,0,negative,1,2023-11-15 12:04:04,tinder,0.588,0.943
nih apk deh buka muncul logo mulu tidak bisa jaring bagus maless pas masuk eh logo mulu,3,negative,1,2023-11-24 11:32:10,tinder,0.424,0.999
kapai siniini tuh apk jelek tidak bisa masuk wifi bagus pas coba pakai data tidak bisa masuk jelek jelek tidak usah donwload,3,negative,1,2023-10-27 13:16:08,tinder,0.68,0.999
akun ku eror ya tidak bisa lihat bio kirim chat tidak bisa baca hapus akun tidak bisa mohon baik member gold terimakasih,2,neutral,5,2023-11-16 13:35:08,tinder,0.425,0.97
nilai buruk bayar tidak ada jam akun cekal tinder sih sikap adil konsumen guna bayar tidak bisa aplikasi konsumen rugi pakai aplikasi,2,negative,1,2023-09-28 10:18:06,tinder,0.797,0.999
ya daftar pakai nomer tidak bisa tulis ups upaya coba ya tidak coba tidak bisa,0,negative,3,2023-09-18 05:26:28,tinder,0.553,0.526
sinyal bagus tiba tidak bisa tonton youtube app lancar banget eeh buka tinder alas koneksi jaring,0,positive,1,2023-09-19 20:59:37,tinder,0.41,0.918
tidak bisa masuk aplikasipadahal kemarin kemarin lancar update tidak bisa masuk aplikasi,3,neutral,1,2023-11-08 08:31:32,tinder,0.733,0.956
tidak bayar tidak bisa kirim pesanchat aplikasi chat bayar,2,negative,1,2023-11-14 22:25:39,tinder,0.555,0.932
jaring tidak sedia ros padhal koneksi lancarga swip dm gagal ros tingkatin tidak jadi member gold beginiahh payah,3,negative,1,2023-09-18 22:24:34,tinder,0.6,0.998
gue tidak laku langgar akun gue kunci mantap gilir verivikasi tombol nge bug tidak bisa dipencetpadahal gue kamera foto sesuai atur adu tidak ada baik gue uninstall,3,negative,1,2023-06-23 00:00:19,tinder,0.597,0.993
bayar tidak bisa aktif payah tinder sekarangdulu praktis free payah payah,2,negative,1,2023-10-29 21:17:02,tinder,0.598,0.495
ya langgan tidak ada like chat sayaapa profile tidak naiktolong periksa akun dibekukansaya verify langgan bulansudah bayar lunas akun tidak bisa buka jugaselalu peninjauantunggu menittapi jam jam tidak aktif jugatolong ditindaklanjutisaya bayar langgan bulansaya tidak laku langgar,4,negative,1,2023-09-27 12:48:47,tinder,0.533,0.997
