content,score,app,topics,label,value
maaf kecewa aplikasi bayar premium spotlight langanan premium tidak yang minggu point henti panjang langgan masuk dalam aplikasi wifi lambat muter muter doang pakai data normal chat masuk tidak ontime tunggu menit tidak menit mnit masuk,1,bumble,3,negative,0.9978121519088745
banget loading lihat list orang diswipe tidak lama doang tidak keload kali kali pindah page muncul,1,bumble,7,negative,0.9800233840942383
aplikasi lancar lelet banget banget sinyal super kencang lelet tolong baik kirim pesan dobel mulu gegara lelet,3,bumble,4,negative,0.999175488948822
halo developer langgan premium minggu bayar terima akun tidak premium coba tidak bisa tolong bantu,1,bumble,9,neutral,0.992270827293396
susah login nomer hp telpon bumble kode negara suruh cek nomer,1,bumble,7,neutral,0.999021053314209
aplikasi bantu mudah guna fitur mudah paham rekomen didownload,5,bumble,7,neutral,0.7235251069068909
log out suruh verifikasi foto foto tidak bisa parah langgan,5,bumble,7,neutral,0.9937892556190491
logout tidak bisa masuk data jamin aman tidak takut foto disalahgunakan,2,bumble,7,negative,0.7962622046470642
lelet nya ampun update beli premium,1,bumble,4,negative,0.990441083908081
bumble load parah ya signal bagus mohon tingkat ya report tidak ada jelas,1,bumble,6,negative,0.9993690848350525
ngelag wifi kencang paket ok,1,bumble,6,positive,0.9972328543663025
langgan tidak bisa suruh bayar,1,bumble,9,negative,0.9432415962219238
kak ya akun blokir verikasi premium tolong tidak di blok akun tidak laku langgar,1,bumble,7,neutral,0.9988538026809692
bumble tolong swipe kanan halaman cocok hilang niat kenal orang tidak sih habis rekomendasi asli tolong baru keluar duit tidak di optimal,1,bumble,9,negative,0.9986718893051147
tolong min eror tidak bisa masuk alih halaman facebook trusgabisa masuk,4,bumble,7,neutral,0.6255794763565063
min upgrade premium metode bayar nya tidak bisa mana ya mesti upgrade premium,2,bumble,9,negative,0.6674918532371521
gila gue main bumble tidak dapat match kayak nya bumble kalo matcht langgan vip match nya kalo kagak mah iya tidak harap dah match pasang aplikasi tidak harap dah kalo tidak langgan vip auto uninstall dah kalo aplikasi kalang tengah doang,1,bumble,8,negative,0.9983087778091431
aplikasi tidak jelas masak login ulang tidak bisa bikin app minimal sistem support,1,bumble,7,neutral,0.5944471955299377
lelet banget pakai bahas inggris,1,bumble,3,negative,0.9957540035247803
koneksi lot aplikasi tidak jelas loading banget,1,bumble,1,negative,0.9991196990013123
