content,score,app,topics
maaf kecewa aplikasi bayar premium spotlight langanan premium tidak yang minggu point henti panjang langgan masuk dalam aplikasi wifi lambat muter muter doang pakai data normal chat masuk tidak ontime tunggu menit tidak menit mnit masuk,1,bumble,3
banget loading lihat list orang diswipe tidak lama doang tidak keload kali kali pindah page muncul,1,bumble,7
aplikasi lancar lelet banget banget sinyal super kencang lelet tolong baik kirim pesan dobel mulu gegara lelet,3,bumble,4
halo developer langgan premium minggu bayar terima akun tidak premium coba tidak bisa tolong bantu,1,bumble,9
susah login nomer hp telpon bumble kode negara suruh cek nomer,1,bumble,7
aplikasi bantu mudah guna fitur mudah paham rekomen didownload,5,bumble,7
log out suruh verifikasi foto foto tidak bisa parah langgan,5,bumble,7
logout tidak bisa masuk data jamin aman tidak takut foto disalahgunakan,2,bumble,7
lelet nya ampun update beli premium,1,bumble,4
bumble load parah ya signal bagus mohon tingkat ya report tidak ada jelas,1,bumble,6
ngelag wifi kencang paket ok,1,bumble,6
langgan tidak bisa suruh bayar,1,bumble,9
kak ya akun blokir verikasi premium tolong tidak di blok akun tidak laku langgar,1,bumble,7
bumble tolong swipe kanan halaman cocok hilang niat kenal orang tidak sih habis rekomendasi asli tolong baru keluar duit tidak di optimal,1,bumble,9
tolong min eror tidak bisa masuk alih halaman facebook trusgabisa masuk,4,bumble,7
min upgrade premium metode bayar nya tidak bisa mana ya mesti upgrade premium,2,bumble,9
gila gue main bumble tidak dapat match kayak nya bumble kalo matcht langgan vip match nya kalo kagak mah iya tidak harap dah match pasang aplikasi tidak harap dah kalo tidak langgan vip auto uninstall dah kalo aplikasi kalang tengah doang,1,bumble,8
aplikasi tidak jelas masak login ulang tidak bisa bikin app minimal sistem support,1,bumble,7
lelet banget pakai bahas inggris,1,bumble,3
koneksi lot aplikasi tidak jelas loading banget,1,bumble,1
tolong kali match langsung hilang error showing matchesnya tolong baik,2,bumble,0
apasih verifikasi foto gagal mulu foto gue muka gue tidak bisa kalo tidak bisa verifikasi balikin beranda tahan mulu verifikasi foto,1,bumble,7
akun block pas bangun tidak rasa langgar mohon bantu nya email jugamohon respon nya,1,bumble,0
