aplikasi,topic,sentiment,value
bumble,aplikasi,negative,46.3
bumble,aplikasi,neutral,20.3
bumble,aplikasi,positive,33.4
bumble,orang,negative,60.2
bumble,orang,neutral,33.0
bumble,orang,positive,6.8
bumble,saldo,negative,37.0
bumble,saldo,neutral,40.7
bumble,saldo,positive,22.2
bumble,masuk,negative,43.5
bumble,masuk,neutral,47.8
bumble,masuk,positive,8.7
bumble,akun,negative,53.5
bumble,akun,neutral,44.2
bumble,akun,positive,2.3
bumble,rumah,negative,54.5
bumble,rumah,neutral,18.2
bumble,rumah,positive,27.3
bumble,verifikasi,negative,65.4
bumble,verifikasi,neutral,30.8
bumble,verifikasi,positive,3.8
tinder,aplikasi,negative,44.6
tinder,aplikasi,neutral,14.4
tinder,aplikasi,positive,41.0
tinder,orang,negative,58.6
tinder,orang,neutral,23.5
tinder,orang,positive,17.9
tinder,saldo,negative,46.3
tinder,saldo,neutral,21.1
tinder,saldo,positive,32.7
tinder,masuk,negative,73.6
tinder,masuk,neutral,13.6
tinder,masuk,positive,12.7
tinder,akun,negative,70.2
tinder,akun,neutral,20.6
tinder,akun,positive,9.2
tinder,rumah,negative,46.4
tinder,rumah,neutral,23.2
tinder,rumah,positive,30.4
tinder,verifikasi,negative,62.9
tinder,verifikasi,neutral,29.2
tinder,verifikasi,positive,7.9
