Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.1,0.1,0.3010025204088791
75% Corpus,2,0.1,0.4,0.3173375939110347
75% Corpus,2,0.1,0.7000000000000001,0.29706770550721684
75% Corpus,2,0.1,symmetric,0.3121107877245474
75% Corpus,2,0.4,0.1,0.3466108921412836
75% Corpus,2,0.4,0.4,0.3072425555015446
75% Corpus,2,0.4,0.7000000000000001,0.3204959354341535
75% Corpus,2,0.4,symmetric,0.30637574472034673
75% Corpus,2,0.7000000000000001,0.1,0.31221096561573003
75% Corpus,2,0.7000000000000001,0.4,0.3164310815629243
75% Corpus,2,0.7000000000000001,0.7000000000000001,0.27860944031822116
75% Corpus,2,0.7000000000000001,symmetric,0.3072367329129357
75% Corpus,2,symmetric,0.1,0.30833595696564964
75% Corpus,2,symmetric,0.4,0.30229279671678505
75% Corpus,2,symmetric,0.7000000000000001,0.3217720283059157
75% Corpus,2,symmetric,symmetric,0.32171823443257774
75% Corpus,2,asymmetric,0.1,0.36031709186431843
75% Corpus,2,asymmetric,0.4,0.33653426201500236
75% Corpus,2,asymmetric,0.7000000000000001,0.3492348491828307
75% Corpus,2,asymmetric,symmetric,0.3471671136731129
75% Corpus,3,0.1,0.1,0.3558449188089606
75% Corpus,3,0.1,0.4,0.369139443221892
75% Corpus,3,0.1,0.7000000000000001,0.4000566770107877
75% Corpus,3,0.1,symmetric,0.3774088509465705
75% Corpus,3,0.4,0.1,0.3984388066034799
75% Corpus,3,0.4,0.4,0.39972817359189455
75% Corpus,3,0.4,0.7000000000000001,0.4406689591340518
75% Corpus,3,0.4,symmetric,0.39622220503345124
75% Corpus,3,0.7000000000000001,0.1,0.44004183328109797
75% Corpus,3,0.7000000000000001,0.4,0.42851338267891
75% Corpus,3,0.7000000000000001,0.7000000000000001,0.4302937684508093
75% Corpus,3,0.7000000000000001,symmetric,0.4262104217442217
75% Corpus,3,symmetric,0.1,0.3898438842693777
75% Corpus,3,symmetric,0.4,0.3915077031126785
75% Corpus,3,symmetric,0.7000000000000001,0.41122085656347296
75% Corpus,3,symmetric,symmetric,0.35857209260675754
75% Corpus,3,asymmetric,0.1,0.41222891026119585
75% Corpus,3,asymmetric,0.4,0.4405407675748662
75% Corpus,3,asymmetric,0.7000000000000001,0.4219087657668101
75% Corpus,3,asymmetric,symmetric,0.44097030030422407
75% Corpus,4,0.1,0.1,0.4062978236783691
75% Corpus,4,0.1,0.4,0.39111402730691847
75% Corpus,4,0.1,0.7000000000000001,0.3444230527657939
75% Corpus,4,0.1,symmetric,0.397699355467761
75% Corpus,4,0.4,0.1,0.4403175872923836
75% Corpus,4,0.4,0.4,0.3993412743092655
75% Corpus,4,0.4,0.7000000000000001,0.4208535218867776
75% Corpus,4,0.4,symmetric,0.4290560925241989
75% Corpus,4,0.7000000000000001,0.1,0.44136922254978006
75% Corpus,4,0.7000000000000001,0.4,0.4037406238081186
75% Corpus,4,0.7000000000000001,0.7000000000000001,0.40705913010231665
75% Corpus,4,0.7000000000000001,symmetric,0.40487266840347336
75% Corpus,4,symmetric,0.1,0.37018098686838746
75% Corpus,4,symmetric,0.4,0.40176614409718203
75% Corpus,4,symmetric,0.7000000000000001,0.429327618668544
75% Corpus,4,symmetric,symmetric,0.4122357517658748
75% Corpus,4,asymmetric,0.1,0.42814661806343796
75% Corpus,4,asymmetric,0.4,0.47794818810661543
75% Corpus,4,asymmetric,0.7000000000000001,0.4860806336539837
75% Corpus,4,asymmetric,symmetric,0.5188674136364777
75% Corpus,5,0.1,0.1,0.4692347885179549
75% Corpus,5,0.1,0.4,0.4528464989940792
75% Corpus,5,0.1,0.7000000000000001,0.45201655943780816
75% Corpus,5,0.1,symmetric,0.4469560318312736
75% Corpus,5,0.4,0.1,0.478962528183529
75% Corpus,5,0.4,0.4,0.45901687466804847
75% Corpus,5,0.4,0.7000000000000001,0.4441784356368858
75% Corpus,5,0.4,symmetric,0.4732373551312544
75% Corpus,5,0.7000000000000001,0.1,0.4737778715044974
75% Corpus,5,0.7000000000000001,0.4,0.4426583505907999
75% Corpus,5,0.7000000000000001,0.7000000000000001,0.4247758350243833
75% Corpus,5,0.7000000000000001,symmetric,0.4665436340060805
75% Corpus,5,symmetric,0.1,0.45389428715348384
75% Corpus,5,symmetric,0.4,0.4234570588825992
75% Corpus,5,symmetric,0.7000000000000001,0.4159381283294275
75% Corpus,5,symmetric,symmetric,0.4473629033602564
75% Corpus,5,asymmetric,0.1,0.46573878405876046
75% Corpus,5,asymmetric,0.4,0.5088504727006004
75% Corpus,5,asymmetric,0.7000000000000001,0.48654768659521413
75% Corpus,5,asymmetric,symmetric,0.5210818084779743
75% Corpus,6,0.1,0.1,0.46850060653373865
75% Corpus,6,0.1,0.4,0.47111133724207716
75% Corpus,6,0.1,0.7000000000000001,0.4728013364168275
75% Corpus,6,0.1,symmetric,0.4719584321596378
75% Corpus,6,0.4,0.1,0.5137902404420489
75% Corpus,6,0.4,0.4,0.5093860488435068
75% Corpus,6,0.4,0.7000000000000001,0.4708206601398616
75% Corpus,6,0.4,symmetric,0.4943130395700326
75% Corpus,6,0.7000000000000001,0.1,0.4773258396208579
75% Corpus,6,0.7000000000000001,0.4,0.44537580402544635
75% Corpus,6,0.7000000000000001,0.7000000000000001,0.4324284815599891
