Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.1,0.1,0.26187609212659696
75% Corpus,2,0.1,0.4,0.2590347995114198
75% Corpus,2,0.1,0.7000000000000001,0.32199369751951584
75% Corpus,2,0.1,symmetric,0.2818478673359397
75% Corpus,2,0.4,0.1,0.2872276779317802
75% Corpus,2,0.4,0.4,0.281248700071595
75% Corpus,2,0.4,0.7000000000000001,0.2962801294347656
75% Corpus,2,0.4,symmetric,0.2672886292297981
75% Corpus,2,0.7000000000000001,0.1,0.32861177549503306
75% Corpus,2,0.7000000000000001,0.4,0.2628020591744733
75% Corpus,2,0.7000000000000001,0.7000000000000001,0.31520170113990764
75% Corpus,2,0.7000000000000001,symmetric,0.2974109731798449
75% Corpus,2,symmetric,0.1,0.2766988931196261
75% Corpus,2,symmetric,0.4,0.266389583365345
75% Corpus,2,symmetric,0.7000000000000001,0.3052726992957654
75% Corpus,2,symmetric,symmetric,0.2821155952960832
75% Corpus,2,asymmetric,0.1,0.25323946896186394
75% Corpus,2,asymmetric,0.4,0.29722832569923663
75% Corpus,2,asymmetric,0.7000000000000001,0.3174052475865453
75% Corpus,2,asymmetric,symmetric,0.28896243397140897
75% Corpus,3,0.1,0.1,0.2927854058329882
75% Corpus,3,0.1,0.4,0.29644688611134434
75% Corpus,3,0.1,0.7000000000000001,0.32425337084072897
75% Corpus,3,0.1,symmetric,0.23783991945966787
75% Corpus,3,0.4,0.1,0.27934081455267923
75% Corpus,3,0.4,0.4,0.2518408830954419
75% Corpus,3,0.4,0.7000000000000001,0.3263925256263947
75% Corpus,3,0.4,symmetric,0.25184088309544184
75% Corpus,3,0.7000000000000001,0.1,0.2770745517823887
75% Corpus,3,0.7000000000000001,0.4,0.31985435689520453
75% Corpus,3,0.7000000000000001,0.7000000000000001,0.33073225056279676
75% Corpus,3,0.7000000000000001,symmetric,0.30515531029189935
75% Corpus,3,symmetric,0.1,0.2728300463904882
75% Corpus,3,symmetric,0.4,0.261300176800433
75% Corpus,3,symmetric,0.7000000000000001,0.2795998033394483
75% Corpus,3,symmetric,symmetric,0.29572425287040044
75% Corpus,3,asymmetric,0.1,0.2863161357603458
75% Corpus,3,asymmetric,0.4,0.3373348579518943
75% Corpus,3,asymmetric,0.7000000000000001,0.41087651170143297
75% Corpus,3,asymmetric,symmetric,0.3554222294665654
75% Corpus,4,0.1,0.1,0.2907043894137322
75% Corpus,4,0.1,0.4,0.29842624543388374
75% Corpus,4,0.1,0.7000000000000001,0.3074104168433129
75% Corpus,4,0.1,symmetric,0.2993218835095964
75% Corpus,4,0.4,0.1,0.3088552317355654
75% Corpus,4,0.4,0.4,0.30794802075061545
75% Corpus,4,0.4,0.7000000000000001,0.33799909755653146
75% Corpus,4,0.4,symmetric,0.30716661042867127
75% Corpus,4,0.7000000000000001,0.1,0.28183867525284534
75% Corpus,4,0.7000000000000001,0.4,0.29331798518202046
75% Corpus,4,0.7000000000000001,0.7000000000000001,0.31025490237226394
75% Corpus,4,0.7000000000000001,symmetric,0.2922542626436096
75% Corpus,4,symmetric,0.1,0.3024129192760669
75% Corpus,4,symmetric,0.4,0.30001480687902854
75% Corpus,4,symmetric,0.7000000000000001,0.33906860137263484
75% Corpus,4,symmetric,symmetric,0.2745673138676775
75% Corpus,4,asymmetric,0.1,0.3963432424818786
75% Corpus,4,asymmetric,0.4,0.4173486605047648
75% Corpus,4,asymmetric,0.7000000000000001,0.42629891307369794
75% Corpus,4,asymmetric,symmetric,0.34870703575634016
75% Corpus,5,0.1,0.1,0.30204004333751844
75% Corpus,5,0.1,0.4,0.3552416904523171
75% Corpus,5,0.1,0.7000000000000001,0.37040277631445456
75% Corpus,5,0.1,symmetric,0.315404231036187
75% Corpus,5,0.4,0.1,0.28784029066743944
75% Corpus,5,0.4,0.4,0.3586103718408772
75% Corpus,5,0.4,0.7000000000000001,0.40285851358273533
75% Corpus,5,0.4,symmetric,0.31327420856350535
75% Corpus,5,0.7000000000000001,0.1,0.2922810881071253
75% Corpus,5,0.7000000000000001,0.4,0.3160331056876157
75% Corpus,5,0.7000000000000001,0.7000000000000001,0.34271551442011605
75% Corpus,5,0.7000000000000001,symmetric,0.3144757935035747
75% Corpus,5,symmetric,0.1,0.29749679284597397
75% Corpus,5,symmetric,0.4,0.35644335942658645
75% Corpus,5,symmetric,0.7000000000000001,0.37943421617221446
75% Corpus,5,symmetric,symmetric,0.3147404186686168
75% Corpus,5,asymmetric,0.1,0.4295331612985184
75% Corpus,5,asymmetric,0.4,0.42842869965943003
75% Corpus,5,asymmetric,0.7000000000000001,0.41792784232711194
75% Corpus,5,asymmetric,symmetric,0.42800652237224857
75% Corpus,6,0.1,0.1,0.31777097067943116
75% Corpus,6,0.1,0.4,0.3861317334690284
75% Corpus,6,0.1,0.7000000000000001,0.4137206355802446
75% Corpus,6,0.1,symmetric,0.3274970753793758
75% Corpus,6,0.4,0.1,0.2983450351883106
75% Corpus,6,0.4,0.4,0.3154274871549636
75% Corpus,6,0.4,0.7000000000000001,0.4094712544613863
75% Corpus,6,0.4,symmetric,0.2891051809680851
75% Corpus,6,0.7000000000000001,0.1,0.2778878591381794
75% Corpus,6,0.7000000000000001,0.4,0.31847205116900035
75% Corpus,6,0.7000000000000001,0.7000000000000001,0.3484426465535057
75% Corpus,6,0.7000000000000001,symmetric,0.2923010713202527
75% Corpus,6,symmetric,0.1,0.3363806232227116
75% Corpus,6,symmetric,0.4,0.36886328710785005
75% Corpus,6,symmetric,0.7000000000000001,0.40076086223304924
75% Corpus,6,symmetric,symmetric,0.33859541839425195
75% Corpus,6,asymmetric,0.1,0.3885746002684229
75% Corpus,6,asymmetric,0.4,0.42512342923131824
75% Corpus,6,asymmetric,0.7000000000000001,0.4390944193599542
75% Corpus,6,asymmetric,symmetric,0.42049792515089734
75% Corpus,7,0.1,0.1,0.33076002639955054
75% Corpus,7,0.1,0.4,0.3358579623547164
75% Corpus,7,0.1,0.7000000000000001,0.3838057123441586
75% Corpus,7,0.1,symmetric,0.35100979237454716
75% Corpus,7,0.4,0.1,0.2895640972494974
75% Corpus,7,0.4,0.4,0.3225576413624401
75% Corpus,7,0.4,0.7000000000000001,0.39065532452515184
75% Corpus,7,0.4,symmetric,0.2849205512536316
75% Corpus,7,0.7000000000000001,0.1,0.2907227620478102
75% Corpus,7,0.7000000000000001,0.4,0.25697383548872843
75% Corpus,7,0.7000000000000001,0.7000000000000001,0.3449710141222937
75% Corpus,7,0.7000000000000001,symmetric,0.3024459294881696
75% Corpus,7,symmetric,0.1,0.3146267471255943
75% Corpus,7,symmetric,0.4,0.33838876267762197
75% Corpus,7,symmetric,0.7000000000000001,0.4108466302750937
75% Corpus,7,symmetric,symmetric,0.3101555583955884
75% Corpus,7,asymmetric,0.1,0.3898265360722007
75% Corpus,7,asymmetric,0.4,0.45188475834682157
75% Corpus,7,asymmetric,0.7000000000000001,0.440191543033117
75% Corpus,7,asymmetric,symmetric,0.3889068605812413
75% Corpus,8,0.1,0.1,0.33495149117721645
75% Corpus,8,0.1,0.4,0.41022795076186735
75% Corpus,8,0.1,0.7000000000000001,0.4108209713818295
75% Corpus,8,0.1,symmetric,0.32246376392907883
75% Corpus,8,0.4,0.1,0.3601671545769055
75% Corpus,8,0.4,0.4,0.41898770333938895
75% Corpus,8,0.4,0.7000000000000001,0.4347892044982934
75% Corpus,8,0.4,symmetric,0.34722554347799395
75% Corpus,8,0.7000000000000001,0.1,0.2837495106302125
75% Corpus,8,0.7000000000000001,0.4,0.2779059234143393
75% Corpus,8,0.7000000000000001,0.7000000000000001,0.3808373911583285
75% Corpus,8,0.7000000000000001,symmetric,0.29180571834696045
75% Corpus,8,symmetric,0.1,0.32910480650596124
75% Corpus,8,symmetric,0.4,0.4159786771923584
75% Corpus,8,symmetric,0.7000000000000001,0.41178481376167037
75% Corpus,8,symmetric,symmetric,0.32587538222657475
75% Corpus,8,asymmetric,0.1,0.41761382332404584
75% Corpus,8,asymmetric,0.4,0.4783371929319679
75% Corpus,8,asymmetric,0.7000000000000001,0.4585320069119261
75% Corpus,8,asymmetric,symmetric,0.4515308378172317
75% Corpus,9,0.1,0.1,0.35338756822556927
75% Corpus,9,0.1,0.4,0.3895058353870618
75% Corpus,9,0.1,0.7000000000000001,0.3922487580169159
75% Corpus,9,0.1,symmetric,0.3549429309546123
75% Corpus,9,0.4,0.1,0.3517569696904521
75% Corpus,9,0.4,0.4,0.39163157661240744
75% Corpus,9,0.4,0.7000000000000001,0.4243462259420713
75% Corpus,9,0.4,symmetric,0.353334951904032
75% Corpus,9,0.7000000000000001,0.1,0.30340390647864557
75% Corpus,9,0.7000000000000001,0.4,0.3394500584977727
75% Corpus,9,0.7000000000000001,0.7000000000000001,0.40121454787647065
75% Corpus,9,0.7000000000000001,symmetric,0.3063688259674375
75% Corpus,9,symmetric,0.1,0.34903745001854936
75% Corpus,9,symmetric,0.4,0.3965371908984878
75% Corpus,9,symmetric,0.7000000000000001,0.38190429571904394
75% Corpus,9,symmetric,symmetric,0.35880009438796245
75% Corpus,9,asymmetric,0.1,0.41842615934489236
75% Corpus,9,asymmetric,0.4,0.46235581536400144
75% Corpus,9,asymmetric,0.7000000000000001,0.35951168321904897
75% Corpus,9,asymmetric,symmetric,0.43046773109449826
100% Corpus,2,0.1,0.1,0.3374041389273118
100% Corpus,2,0.1,0.4,0.339555914238556
100% Corpus,2,0.1,0.7000000000000001,0.3349124622076594
100% Corpus,2,0.1,symmetric,0.3478530043221985
100% Corpus,2,0.4,0.1,0.3396901227878505
100% Corpus,2,0.4,0.4,0.344461614252122
100% Corpus,2,0.4,0.7000000000000001,0.3392023264357776
100% Corpus,2,0.4,symmetric,0.3475878516734864
100% Corpus,2,0.7000000000000001,0.1,0.2992344196780148
100% Corpus,2,0.7000000000000001,0.4,0.30932969241635644
100% Corpus,2,0.7000000000000001,0.7000000000000001,0.327825810992584
100% Corpus,2,0.7000000000000001,symmetric,0.3278258109925839
100% Corpus,2,symmetric,0.1,0.29322984041210776
100% Corpus,2,symmetric,0.4,0.3465886937289592
100% Corpus,2,symmetric,0.7000000000000001,0.3589596013573376
100% Corpus,2,symmetric,symmetric,0.34751898465304926
100% Corpus,2,asymmetric,0.1,0.35548244481700075
100% Corpus,2,asymmetric,0.4,0.34882752556467966
100% Corpus,2,asymmetric,0.7000000000000001,0.3220733021932157
100% Corpus,2,asymmetric,symmetric,0.3056994354617658
100% Corpus,3,0.1,0.1,0.29084959236954294
100% Corpus,3,0.1,0.4,0.3761546963912119
100% Corpus,3,0.1,0.7000000000000001,0.34207543789672434
100% Corpus,3,0.1,symmetric,0.33587810599697726
100% Corpus,3,0.4,0.1,0.2712292175344901
100% Corpus,3,0.4,0.4,0.31725148319257884
100% Corpus,3,0.4,0.7000000000000001,0.33945623076897774
100% Corpus,3,0.4,symmetric,0.3002494980897257
100% Corpus,3,0.7000000000000001,0.1,0.3049990154131716
100% Corpus,3,0.7000000000000001,0.4,0.29617870202640456
100% Corpus,3,0.7000000000000001,0.7000000000000001,0.3172785116957955
100% Corpus,3,0.7000000000000001,symmetric,0.31855516062820183
100% Corpus,3,symmetric,0.1,0.29041884939131735
100% Corpus,3,symmetric,0.4,0.32070942341763103
100% Corpus,3,symmetric,0.7000000000000001,0.35588339992403367
100% Corpus,3,symmetric,symmetric,0.3142146697952089
100% Corpus,3,asymmetric,0.1,0.3682880669763555
100% Corpus,3,asymmetric,0.4,0.3891830023241232
100% Corpus,3,asymmetric,0.7000000000000001,0.44331271440536507
100% Corpus,3,asymmetric,symmetric,0.36194743943553226
100% Corpus,4,0.1,0.1,0.2880571511731449
100% Corpus,4,0.1,0.4,0.32230425176452454
