Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.1,0.1,0.3000466376948197
75% Corpus,2,0.1,0.4,0.32517326877415764
75% Corpus,2,0.1,0.7000000000000001,0.34155787126830894
75% Corpus,2,0.1,symmetric,0.30457202189064114
75% Corpus,2,0.4,0.1,0.3220952550167713
75% Corpus,2,0.4,0.4,0.2802170817899322
75% Corpus,2,0.4,0.7000000000000001,0.27970767738029517
75% Corpus,2,0.4,symmetric,0.2989370432614199
75% Corpus,2,0.7000000000000001,0.1,0.30267679189226715
75% Corpus,2,0.7000000000000001,0.4,0.28044004222457364
75% Corpus,2,0.7000000000000001,0.7000000000000001,0.30549426577622674
75% Corpus,2,0.7000000000000001,symmetric,0.30481957938817905
75% Corpus,2,symmetric,0.1,0.3136612348936172
75% Corpus,2,symmetric,0.4,0.3071124133044192
75% Corpus,2,symmetric,0.7000000000000001,0.29861470627522024
75% Corpus,2,symmetric,symmetric,0.2894654819877571
75% Corpus,2,asymmetric,0.1,0.3410163290251489
75% Corpus,2,asymmetric,0.4,0.3942361745231208
75% Corpus,2,asymmetric,0.7000000000000001,0.4092481427808147
75% Corpus,2,asymmetric,symmetric,0.3900146789193051
75% Corpus,3,0.1,0.1,0.29385073528527067
75% Corpus,3,0.1,0.4,0.28707975649788864
75% Corpus,3,0.1,0.7000000000000001,0.3150930532936636
75% Corpus,3,0.1,symmetric,0.2965046829888931
75% Corpus,3,0.4,0.1,0.31161147200053674
75% Corpus,3,0.4,0.4,0.28633554752842466
75% Corpus,3,0.4,0.7000000000000001,0.38101933011361
75% Corpus,3,0.4,symmetric,0.31214360936136254
75% Corpus,3,0.7000000000000001,0.1,0.2802265940022791
75% Corpus,3,0.7000000000000001,0.4,0.3462323287716222
75% Corpus,3,0.7000000000000001,0.7000000000000001,0.34064752729182884
75% Corpus,3,0.7000000000000001,symmetric,0.3348617271749312
75% Corpus,3,symmetric,0.1,0.3173332196039409
75% Corpus,3,symmetric,0.4,0.3041954926859123
75% Corpus,3,symmetric,0.7000000000000001,0.3177888316261237
75% Corpus,3,symmetric,symmetric,0.30524748474224256
75% Corpus,3,asymmetric,0.1,0.41840443964451507
75% Corpus,3,asymmetric,0.4,0.45100266898802727
75% Corpus,3,asymmetric,0.7000000000000001,0.4947485212135714
75% Corpus,3,asymmetric,symmetric,0.457841329738792
75% Corpus,4,0.1,0.1,0.31928902636798373
75% Corpus,4,0.1,0.4,0.32840869588151067
75% Corpus,4,0.1,0.7000000000000001,0.4008852809649813
75% Corpus,4,0.1,symmetric,0.29605115373393537
75% Corpus,4,0.4,0.1,0.3858317434103578
75% Corpus,4,0.4,0.4,0.37736135921770686
75% Corpus,4,0.4,0.7000000000000001,0.36437427771097664
75% Corpus,4,0.4,symmetric,0.35153516862566586
75% Corpus,4,0.7000000000000001,0.1,0.3862118118096848
75% Corpus,4,0.7000000000000001,0.4,0.3644940870606915
75% Corpus,4,0.7000000000000001,0.7000000000000001,0.36788604160008953
75% Corpus,4,0.7000000000000001,symmetric,0.36469479227720203
75% Corpus,4,symmetric,0.1,0.33588188913639017
75% Corpus,4,symmetric,0.4,0.3292388431003996
75% Corpus,4,symmetric,0.7000000000000001,0.35488281546297784
75% Corpus,4,symmetric,symmetric,0.3191688792814941
75% Corpus,4,asymmetric,0.1,0.43762674240648713
75% Corpus,4,asymmetric,0.4,0.4799354525897087
75% Corpus,4,asymmetric,0.7000000000000001,0.5279551983889137
75% Corpus,4,asymmetric,symmetric,0.4743382484939015
75% Corpus,5,0.1,0.1,0.3986312503983646
75% Corpus,5,0.1,0.4,0.3452782894282645
75% Corpus,5,0.1,0.7000000000000001,0.35533224513214157
75% Corpus,5,0.1,symmetric,0.36391392298885517
75% Corpus,5,0.4,0.1,0.39394557522619034
75% Corpus,5,0.4,0.4,0.3607544800557417
75% Corpus,5,0.4,0.7000000000000001,0.3492478344794375
75% Corpus,5,0.4,symmetric,0.3704673330116365
75% Corpus,5,0.7000000000000001,0.1,0.3895844976686793
75% Corpus,5,0.7000000000000001,0.4,0.35800969751774075
75% Corpus,5,0.7000000000000001,0.7000000000000001,0.34509533641313406
75% Corpus,5,0.7000000000000001,symmetric,0.37505885464263544
75% Corpus,5,symmetric,0.1,0.3989256048305486
75% Corpus,5,symmetric,0.4,0.37726491144634533
75% Corpus,5,symmetric,0.7000000000000001,0.3501291315093747
75% Corpus,5,symmetric,symmetric,0.394044151150246
75% Corpus,5,asymmetric,0.1,0.46677411650099543
75% Corpus,5,asymmetric,0.4,0.4710756905457908
75% Corpus,5,asymmetric,0.7000000000000001,0.5147323699535654
75% Corpus,5,asymmetric,symmetric,0.4799526837636746
75% Corpus,6,0.1,0.1,0.4049907837120384
75% Corpus,6,0.1,0.4,0.39180053914672236
75% Corpus,6,0.1,0.7000000000000001,0.415147821260093
75% Corpus,6,0.1,symmetric,0.4100264675701298
75% Corpus,6,0.4,0.1,0.4125542671965204
75% Corpus,6,0.4,0.4,0.40747272447445937
75% Corpus,6,0.4,0.7000000000000001,0.3893447391345426
75% Corpus,6,0.4,symmetric,0.39905736683099374
75% Corpus,6,0.7000000000000001,0.1,0.391537459464034
75% Corpus,6,0.7000000000000001,0.4,0.37446246446731485
75% Corpus,6,0.7000000000000001,0.7000000000000001,0.3826943549945196
75% Corpus,6,0.7000000000000001,symmetric,0.41986569816918723
75% Corpus,6,symmetric,0.1,0.4234176085255413
75% Corpus,6,symmetric,0.4,0.40810298471077505
75% Corpus,6,symmetric,0.7000000000000001,0.39789105082069015
75% Corpus,6,symmetric,symmetric,0.42061480761178976
75% Corpus,6,asymmetric,0.1,0.47702170796757826
75% Corpus,6,asymmetric,0.4,0.47115917133316093
75% Corpus,6,asymmetric,0.7000000000000001,0.5059597138482244
75% Corpus,6,asymmetric,symmetric,0.49881159634429545
75% Corpus,7,0.1,0.1,0.431088951303492
75% Corpus,7,0.1,0.4,0.44424793594302237
75% Corpus,7,0.1,0.7000000000000001,0.39902963246822615
75% Corpus,7,0.1,symmetric,0.4208661740629233
