aplikasi,topic,sentiment,value
AoV,game,negative,52.7
AoV,game,neutral,6.5
AoV,game,positive,40.8
AoV,hero,negative,39.6
AoV,hero,neutral,4.2
AoV,hero,positive,56.3
AoV,kalah,negative,33.3
AoV,kalah,neutral,33.3
AoV,kalah,positive,33.3
AoV,hp,negative,57.1
AoV,hp,neutral,14.3
AoV,hp,positive,28.6
AoV,lag,negative,53.8
AoV,lag,neutral,15.4
AoV,lag,positive,30.8
AoV,tim,negative,81.8
AoV,tim,neutral,4.5
AoV,tim,positive,13.6
AoV,karakter,negative,23.1
AoV,karakter,neutral,0.0
AoV,karakter,positive,76.9
AoV,pakai,negative,71.4
AoV,pakai,neutral,0.0
AoV,pakai,positive,28.6
Mobilelegends,game,negative,74.7
Mobilelegends,game,neutral,8.2
Mobilelegends,game,positive,17.1
Mobilelegends,hero,negative,76.5
Mobilelegends,hero,neutral,3.9
Mobilelegends,hero,positive,19.6
Mobilelegends,kalah,negative,100.0
Mobilelegends,kalah,neutral,0.0
Mobilelegends,kalah,positive,0.0
Mobilelegends,hp,negative,66.7
Mobilelegends,hp,neutral,33.3
Mobilelegends,hp,positive,0.0
Mobilelegends,lag,negative,61.5
Mobilelegends,lag,neutral,0.0
Mobilelegends,lag,positive,38.5
Mobilelegends,tim,negative,85.0
Mobilelegends,tim,neutral,2.5
Mobilelegends,tim,positive,12.5
Mobilelegends,karakter,negative,33.3
Mobilelegends,karakter,neutral,33.3
Mobilelegends,karakter,positive,33.3
Mobilelegends,pakai,negative,100.0
Mobilelegends,pakai,neutral,0.0
Mobilelegends,pakai,positive,0.0
Netdragons,game,negative,43.8
Netdragons,game,neutral,15.0
Netdragons,game,positive,41.2
Netdragons,hero,negative,41.9
Netdragons,hero,neutral,9.7
Netdragons,hero,positive,48.4
Netdragons,kalah,negative,33.3
Netdragons,kalah,neutral,0.0
Netdragons,kalah,positive,66.7
Netdragons,hp,negative,60.0
Netdragons,hp,neutral,0.0
Netdragons,hp,positive,40.0
Netdragons,lag,negative,50.0
Netdragons,lag,neutral,11.1
Netdragons,lag,positive,38.9
Netdragons,tim,negative,72.2
Netdragons,tim,neutral,5.6
Netdragons,tim,positive,22.2
Netdragons,karakter,negative,25.0
Netdragons,karakter,neutral,0.0
Netdragons,karakter,positive,75.0
Netdragons,pakai,negative,36.4
Netdragons,pakai,neutral,45.5
Netdragons,pakai,positive,18.2
