aplikasi,topic,sentiment,value
facebook,aplikasi,negative,45.2
facebook,aplikasi,neutral,34.2
facebook,aplikasi,positive,20.6
facebook,akun,negative,47.1
facebook,akun,neutral,46.0
facebook,akun,positive,6.9
facebook,tik,negative,51.2
facebook,tik,neutral,26.2
facebook,tik,positive,22.6
facebook,fitur,negative,56.8
facebook,fitur,neutral,30.9
facebook,fitur,positive,12.3
facebook,manusia,negative,61.6
facebook,manusia,neutral,17.0
facebook,manusia,positive,21.4
facebook,anak,negative,39.7
facebook,anak,neutral,33.3
facebook,anak,positive,27.0
instagram,aplikasi,negative,58.1
instagram,aplikasi,neutral,30.7
instagram,aplikasi,positive,11.1
instagram,akun,negative,51.4
instagram,akun,neutral,40.5
instagram,akun,positive,8.1
instagram,tik,negative,67.7
instagram,tik,neutral,22.6
instagram,tik,positive,9.7
instagram,fitur,negative,60.0
instagram,fitur,neutral,33.3
instagram,fitur,positive,6.7
instagram,manusia,negative,64.2
instagram,manusia,neutral,20.1
instagram,manusia,positive,15.7
instagram,anak,negative,60.2
instagram,anak,neutral,27.3
instagram,anak,positive,12.5
tiktok,aplikasi,negative,22.4
tiktok,aplikasi,neutral,24.4
tiktok,aplikasi,positive,53.2
tiktok,akun,negative,31.9
tiktok,akun,neutral,29.9
tiktok,akun,positive,37.2
tiktok,tik,negative,23.5
tiktok,tik,neutral,20.3
tiktok,tik,positive,56.2
tiktok,fitur,negative,41.6
tiktok,fitur,neutral,45.0
tiktok,fitur,positive,13.4
tiktok,manusia,negative,38.5
tiktok,manusia,neutral,14.6
tiktok,manusia,positive,46.9
tiktok,anak,negative,18.8
tiktok,anak,neutral,21.8
tiktok,anak,positive,59.4
