,aplikasi,topic,sentiment,value
0,bumble,0,negative,77
1,bumble,0,neutral,10
2,bumble,0,positive,13
3,bumble,1,negative,29
4,bumble,1,neutral,12
5,bumble,1,positive,58
6,bumble,2,negative,79
7,bumble,2,neutral,0
8,bumble,2,positive,21
9,bumble,3,negative,11
10,bumble,3,neutral,1
11,bumble,3,positive,88
12,bumble,4,negative,37
13,bumble,4,neutral,14
14,bumble,4,positive,49
15,bumble,5,negative,56
16,bumble,5,neutral,5
17,bumble,5,positive,39
18,bumble,6,negative,76
19,bumble,6,neutral,4
20,bumble,6,positive,20
21,bumble,7,negative,54
22,bumble,7,neutral,41
23,bumble,7,positive,6
24,bumble,8,negative,72
25,bumble,8,neutral,10
26,bumble,8,positive,18
27,tinder,0,negative,59
28,tinder,0,neutral,6
29,tinder,0,positive,35
30,tinder,1,negative,27
31,tinder,1,neutral,12
32,tinder,1,positive,62
33,tinder,2,negative,55
34,tinder,2,neutral,4
35,tinder,2,positive,41
36,tinder,3,negative,6
37,tinder,3,neutral,1
38,tinder,3,positive,93
39,tinder,4,negative,27
40,tinder,4,neutral,9
41,tinder,4,positive,64
42,tinder,5,negative,25
43,tinder,5,neutral,6
44,tinder,5,positive,69
45,tinder,6,negative,55
46,tinder,6,neutral,8
47,tinder,6,positive,37
48,tinder,7,negative,68
49,tinder,7,neutral,24
50,tinder,7,positive,8
51,tinder,8,negative,81
52,tinder,8,neutral,6
53,tinder,8,positive,12
