Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.1,0.1,0.515
75% Corpus,2,0.1,0.4,0.529
75% Corpus,2,0.1,0.7,0.585
75% Corpus,2,0.1,symmetric,0.584
75% Corpus,2,0.4,0.1,0.545
75% Corpus,2,0.4,0.4,0.555
75% Corpus,2,0.4,0.7,0.575
75% Corpus,2,0.4,symmetric,0.567
75% Corpus,2,0.7,0.1,0.539
75% Corpus,2,0.7,0.4,0.547
75% Corpus,2,0.7,0.7,0.553
75% Corpus,2,0.7,symmetric,0.549
75% Corpus,2,symmetric,0.1,0.537
75% Corpus,2,symmetric,0.4,0.564
75% Corpus,2,symmetric,0.7,0.535
75% Corpus,2,symmetric,symmetric,0.554
75% Corpus,2,asymmetric,0.1,0.504
75% Corpus,2,asymmetric,0.4,0.553
75% Corpus,2,asymmetric,0.7,0.55
75% Corpus,2,asymmetric,symmetric,0.577
75% Corpus,3,0.1,0.1,0.472
75% Corpus,3,0.1,0.4,0.534
75% Corpus,3,0.1,0.7,0.533
75% Corpus,3,0.1,symmetric,0.524
75% Corpus,3,0.4,0.1,0.534
75% Corpus,3,0.4,0.4,0.532
75% Corpus,3,0.4,0.7,0.536
75% Corpus,3,0.4,symmetric,0.519
75% Corpus,3,0.7,0.1,0.503
75% Corpus,3,0.7,0.4,0.57
75% Corpus,3,0.7,0.7,0.507
75% Corpus,3,0.7,symmetric,0.561
75% Corpus,3,symmetric,0.1,0.506
75% Corpus,3,symmetric,0.4,0.538
75% Corpus,3,symmetric,0.7,0.505
75% Corpus,3,symmetric,symmetric,0.547
75% Corpus,3,asymmetric,0.1,0.52
75% Corpus,3,asymmetric,0.4,0.51
75% Corpus,3,asymmetric,0.7,0.528
75% Corpus,3,asymmetric,symmetric,0.507
75% Corpus,4,0.1,0.1,0.475
75% Corpus,4,0.1,0.4,0.559
75% Corpus,4,0.1,0.7,0.55
75% Corpus,4,0.1,symmetric,0.466
75% Corpus,4,0.4,0.1,0.467
75% Corpus,4,0.4,0.4,0.487
75% Corpus,4,0.4,0.7,0.518
75% Corpus,4,0.4,symmetric,0.463
75% Corpus,4,0.7,0.1,0.496
75% Corpus,4,0.7,0.4,0.499
75% Corpus,4,0.7,0.7,0.509
